Determinant,Dependent
order_id,product_id
order_id,unit_price
order_id,quantity
order_id,discount
order_id,hidden_whole_cost
order_id,hidden_discount_cost
order_id,customer_id
order_id,employee_id
order_id,order_day
order_id,order_month
order_id,order_year
order_id,required_date
order_id,shipped_day
order_id,shipped_month
order_id,shipped_year
order_id,ship_via
order_id,freight
order_id,ship_name
order_id,ship_address
order_id,ship_city
order_id,ship_postal_code
order_id,ship_country
order_id,emp_name
order_id,emp_last_name
order_id,emp_first_name
order_id,product_name
order_id,supplier_id
order_id,category_id
order_id,quantity_per_unit
order_id,units_in_stock
order_id,units_on_order
order_id,reorder_level
order_id,discontinued
